no;fecha;total peso taller;total peso factura;total peso oro puro fact;base orotec;base venta;diferencia entre bases;total venta;compra base orotec;utilidad sociedad total;utilidad taller;utilidad ala;observaciones;total pagado en factura
48;10/28/2025;323,87;323,87;262,58;457560;482000;24440;126563560;120146104,8;6417455,2;3850473,12;2566982,08;Falta factura Yarden. No coinciden valores entre factura y el valor real de la venta.  Como no se tiene referencia Orotec, se toma el valor referencia Medellín;126616580
49;10/30/2025;60,69;60,69;54,26;463140;470000;6860;25502200;25129976,4;372223,6;223334,16;148889,44;Falta factura Yarden.  Como no se tiene referencia Orotec, se toma el valor referencia Medellín;25502200
50;11/4/2025;256,74;256,74;225,41;456630;472000;15370;106393520;102928968,3;3464551,7;2078731,02;1385820,68;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;106393520
51;11/7/2025;175,39;175,4;154,88;451050;462000;10950;71554560;69858624;1695936;1017561,6;678374,4;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;71554560
52;11/10/2025;116,32;116,34;104,12;460350;470000;9650;48936400;47931642;1004758;602854,8;401903,2;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;48936400
53;11/15/2025;360,52;360,54;319,43;457560;470000;12440;150132100;146158390,8;3973709,2;2384225,52;1589483,68;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;150770960
54;11/20/2025;181,66;181,67;163,75;458490;470000;11510;76962500;75077737,5;1884762,5;1130857,5;753905;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;76962500
55;11/27/2025;254,17;254,17;132,12;468720;478000;9280;63153360;61927286,4;1226073,6;735644,16;490429,44;En la factura pagan 138,8 gramos, pero son 132,2. Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín ;66346400
56;12/1/2025;170,29;170,29;151,75;471040;480000;8960;72840000;71480320;1359680;815808;543872;En diciembre bajó el porcentaje que pagan en medellín, pagaron sobre el 92%. Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;72840000
57;12/4/2025;173,1;173,1;153,446;456320;480000;23680;73654080;70020478,72;3633601,28;2180160,768;1453440,512;No está la factura de Yarden. Datos sacados del excel. No coinciden valores entre Excel y el valor real de la venta. Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;73646400
58;12/9/2025;170,18;170,18;155,64;478400;480000;1600;74707200;74458176;249024;149414,4;99609,6;Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;74707200
59;12/18/2025;89,06;89,06;77,4199;490360;465000;-25360;36000253,5;37963622,16;-1963368,664;-1178021,198;-785347,4656;No tenemos la factura ni el excel. Como no se tiene referencia Orotec, se toma el valor que se pagaría en Medellín;36000253,5
