no;fecha;ley taller;peso taller;ley jerusalen;peso factura;peso oro puro factura;peso oro puro real;diferencia peso oro puro;diferencia en valor
62;7/16/2025;"0,857";"5,99";"0,854";"5,99";"5,11";"5,11546";"0,00546";"-2260,44"
63;7/16/2025;"0,929";"18,26";"0,931";"18,26";17;"17,00006";6E-05;"-24,84"
64;7/21/2025;;"13,7";"0,927";"13,7";"12,7";"12,6999";"-1,00E-04";"41,9"
65;7/21/2025;;"52,71";"0,609";"52,71";"32,1";"32,10039";"0,00039";"-163,41"
66;7/21/2025;"0,878";"236,38";"0,88";"236,38";"208,01";"208,0144";"0,0044";"-1843,6"
67;7/21/2025;"0,887";"96,13";"0,89";"96,13";"85,55";"85,5557";"0,0057";"-2388,3"
68;7/21/2025;"0,889";"9,39";"0,896";"9,39";"8,41";"8,41344";"0,00344";"-1441,36"
69;7/21/2025;"0,9";"4,25";"0,892";"4,25";"3,79";"3,791";"0,001";-419
70;7/21/2025;"0,845";"2,43";"0,87";"2,43";"2,11";"2,1141";"0,0041";"-1717,9"
71;7/21/2025;"0,936";"13,22";"0,929";"13,22";"12,28";"12,28138";"0,00138";"-578,22"
72;7/24/2025;"0,874";"146,36";"0,87";"146,36";"127,33";"127,3332";"0,0032";"-1350,4"
73;7/24/2025;"0,912";"8,53";"0,934";"8,53";"7,96";"7,96702";"0,00702";"-2962,44"
74;7/28/2025;"0,88";"68,7";"0,872";"68,7";"59,9";"59,9064";"0,0064";"-2726,4"
75;7/28/2025;"0,87";"29,24";"0,871";"29,24";"25,46";"25,46804";"0,00804";"-3425,04"
76;7/28/2025;"0,897";"60,56";"0,903";"60,56";"54,68";"54,68568";"0,00568";"-2419,68"
77;7/28/2025;"0,896";"53,52";"0,9";"53,52";"48,16";"48,168";"0,008";-3408
78;7/28/2025;"0,85";"3,8";"0,876";"3,8";"3,32";"3,3288";"0,0088";"-3748,8"
79;7/28/2025;;"76,37";"0,501";"76,37";"38,26";"38,26137";"0,00137";"-583,62"
80;7/31/2025;"0,815";"4,98";"0,859";"4,98";"4,27";"4,27782";"0,00782";0
81;7/31/2025;"0,854";"176,15";"0,86";"176,15";"151,48";"151,489";"0,009";-3807
82;8/4/2025;"0,88";"128,34";"0,88";"128,34";"112,94";"112,9392";"-0,0008";"339,2"
83;8/4/2025;"0,873";"91,46";"0,88";"91,46";"80,48";"80,4848";"0,0048";"-2035,2"
84;8/4/2025;"0,844";"56,61";"0,854";"56,61";"47,34";"48,34494";"1,00494";"-426094,56"
85;8/6/2025;;"87,85";"0,641";"87,83";"56,29";"56,31185";"0,02185";"-9264,4"
86;8/6/2025;"0,925";"5,78";"0,92";"5,78";"5,31";"5,3176";"0,0076";"-3222,4"
87;8/6/2025;"0,816";"141,36";"0,819";"141,36";"115,77";"115,77384";"0,00384";"-1628,16"
88;8/6/2025;"0,898";"41,52";"0,895";"41,52";"37,16";"37,1604";"0,0004";"-169,6"
89;8/12/2025;"0,875";"52,02";"0,879";"52,02";"45,72";"45,72558";"0,00558";"-2343,6"
90;8/15/2025;"0,87";"144,94";"0,879";"141,94";"124,76";"127,40226";"2,64226";"-1096537,9"
91;8/15/2025;"0,85";"4,22";"0,858";"4,22";"3,62";"3,62076";"0,00076";"-315,4"
92;8/15/2025;"0,89";"9,84";"0,871";"9,84";"8,57";"8,57064";"0,00064";"-265,6"
93;8/19/2025;"0,903";"36,68";"0,898";"36,68";"32,93";"32,93864";"0,00864";"-3585,6"
94;8/19/2025;"0,892";"43,62";"0,899";"43,62";"39,21";"39,21438";"0,00438";"-1817,7"
95;8/19/2025;"0,861";"88,73";"0,877";"88,73";"77,81";"77,81621";"0,00621";"-2577,15"
96;8/19/2025;;"93,22";"0,587";"93,22";"54,72";"54,72014";"0,00014";"-58,1"
97;8/21/2025;"0,884";"75,26";"0,882";"75,26";"66,37";"66,37932";"0,00932";"-3858,48"
98;8/21/2025;"0,87";"11,25";"0,869";"11,25";"9,77";"9,77625";"0,00625";"-2587,5"
99;8/25/2025;"0,89";"31,19";"0,886";"31,19";"27,63";"27,63434";"0,00434";"-1814,12"
100;8/25/2025;"0,855";"2,49";"0,837";"2,49";"2,08";"2,08413";"0,00413";"-1726,34"
101;8/25/2025;"0,886";"99,04";"0,89";"96,04";"85,47";"88,1456";"2,6756";"-1118400,8"
;8/25/2025;"0,81";"5,3";"0,83";"5,3";"4,44";"4,399";"-0,041";17138
102;8/25/2025;"0,879";"128,82";"0,89";"126,32";"112,86";"114,6498";"1,7898";"-748136,4"
103;8/27/2025;;"55,86";"0,601";"55,86";"33,57";"33,57186";"0,00186";"-784,92"
104;8/27/2025;"0,874";"117,58";"0,873";"117,58";"102,64";"102,64734";"0,00734";"-3097,48"
105;8/27/2025;;"6,29";"0,981";"6,29";"5,77";"6,17049";"0,40049";"-169006,78"
106;9/1/2025;"0,88";"183,04";"0,88";"183,04";"161,16";"161,0752";"-0,0848";"36209,6"
107;9/1/2025;"0,886";"50,53";"0,891";"49,53";"44,13";"45,02223";"0,89223";"-380982,21"
108;9/1/2025;"0,86";"13,16";"0,86";"13,16";"11,31";"11,3176";"0,0076";"-3245,2"
109;9/4/2025;"0,873";"67,83";"0,88";"67,83";"59,69";"59,6904";"0,0004";"-174,8"
110;9/4/2025;"0,718";"32,18";"0,72";"32,13";"23,13";"23,1696";"0,0396";"-17305,2"
111;9/4/2025;;"59,32";"0,709";"58,3";"41,33";"42,05788";"0,72788";"-318083,56"
112;9/8/2025;"0,844";"61,4";"0,841";"61,4";"51,6";"51,6374";"0,0374";"-16343,8"
113;9/8/2025;"0,895";"41,3";"0,896";"41,2";"36,91";"37,0048";"0,0948";"-41427,6"
114;9/11/2025;"0,841";"16,05";"0,842";"6,05";"5,09";"13,5141";"8,4241";"-3681331,7"
115;9/11/2025;"0,92";"6,94";"0,954";"6,94";"6,62";"6,62076";"0,00076";"-332,12"
116;9/11/2025;"0,878";"6,39";"0,855";"6,39";"5,46";"5,46345";"0,00345";"-1507,65"
117;9/11/2025;"0,9";"25,28";"0,899";"25,28";"22,72";"22,72672";"0,00672";"-2936,64"
118;9/11/2025;"0,856";"40,06";"0,867";"40,06";"34,73";"34,73202";"0,00202";"-882,74"
119;9/11/2025;"0,893";"129,9";"0,906";"129,9";"117,68";"117,6894";"0,0094";"-4107,8"
120;9/15/2025;"0,903";"45,96";"0,91";"45,96";"41,82";"41,8236";"0,0036";-1584
121;9/15/2025;"0,9";"10,2";"0,902";"10,2";"9,2";"9,2004";"0,0004";-176
122;9/15/2025;;"61,11";"0,634";"61,11";"38,74";"38,74374";"0,00374";"-1645,6"
123;9/15/2025;"0,896";109;"0,899";109;"97,99";"97,991";"0,001";-440
124;9/18/2025;"0,874";"77,17";"0,88";"77,17";"67,9";"67,9096";"0,0096";"-4195,2"
125;9/18/2025;"0,8";"60,5";"0,8";"60,5";"48,4";"48,4";0;0
126;9/22/2025;"0,886";"102,56";"0,881";"102,56";"90,3";"90,35536";"0,05536";"-24358,4"
127;9/22/2025;"0,901";"20,54";"0,902";"20,54";"18,5";"18,52708";"0,02708";"-11915,2"
128;9/22/2025;;"37,34";"0,506";"37,34";"18,8";"18,89404";"0,09404";"-41377,6"
129;9/25/2025;;"2,79";"0,928";"2,79";"2,58";"2,58912";"0,00912";"-4085,76"
130;9/25/2025;"0,885";"65,12";"0,88";"65,12";"57,3";"57,3056";"0,0056";"-2508,8"
131;9/29/2025;"0,901";"31,81";"0,911";"31,81";"28,97";"28,97891";"0,00891";"-4098,6"
132;9/29/2025;"0,893";"39,23";"0,897";"34,23";"30,7";"35,18931";"4,48931";"-2065082,6"
133;9/29/2025;"0,73";"65,25";"0,572";"65,25";"37,32";"47,6325";"10,3125";-4743750
134;9/29/2025;"0,879";"130,69";"0,88";"130,69";"114,96";"115,0072";"0,0472";-21712
135;10/2/2025;;"62,47";"0,602";"62,47";"37,6";"37,60694";"0,00694";"-3192,4"
136;10/2/2025;"0,847";"94,99";"0,843";"94,99";"80,07";"80,07657";"0,00657";"-3022,2"
137;10/6/2025;"0,917";"10,27";"0,894";"10,28";"9,19";"9,18138";"-0,00862";"4008,3"
138;10/6/2025;"0,92";"8,21";"0,927";"8,21";"7,61";"7,61067";"0,00067";"-311,55"
139;10/6/2025;"0,912";"33,5";"0,898";"30,5";"27,38";"30,083";"2,703";-1256895
140;10/6/2025;"0,893";"43,11";"0,894";"41,11";"36,75";"38,54034";"1,79034";"-832508,1"
141;10/6/2025;;"4,34";"0,964";"4,34";"4,18";"4,18376";"0,00376";"-1748,4"
142;10/6/2025;"0,899";"53,03";"0,896";"53,03";"46,98";"47,51488";"0,53488";"-248719,2"
143;10/6/2025;;"4,21";"0,659";"4,21";"2,77";"2,77439";"0,00439";"-2041,35"
144;10/9/2025;;"58,13";"0,719";"58,13";"41,79";"41,79547";"0,00547";"-2625,6"
145;10/9/2025;"0,893";"55,41";"0,894";"55,41";"49,53";"49,53654";"0,00654";"-3139,2"
146;10/9/2025;;"44,93";"0,784";"44,93";"35,22";"35,22512";"0,00512";"-2457,6"
147;10/14/2025;"0,901";"49,28";"0,898";"49,3";"44,27";"44,25344";"-0,01656";"7948,8"
